127.0.0.1 - - [22/Sep/2022:15:01:56 -0500] "GET / HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:01:58 -0500] "GET /lp2_2022_Proyecto/login.jsp HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:01:58 -0500] "GET /lp2_2022_Proyecto/img/log.jpg HTTP/1.1" 200 101700
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:01:58 -0500] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:02:02 -0500] "POST /lp2_2022_Proyecto/ServletLogin?tipo=INICIAR HTTP/1.1" 200 4368
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:02:02 -0500] "GET /lp2_2022_Proyecto/css/stylebar.css HTTP/1.1" 200 5724
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:02:04 -0500] "GET /lp2_2022_Proyecto/ServletBienes?tipo=LISTAR HTTP/1.1" 200 16105
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:02:04 -0500] "GET /lp2_2022_Proyecto/css/stylePages.css HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:02:05 -0500] "GET /lp2_2022_Proyecto/ServletBienesJSON?codigo=1 HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:02:22 -0500] "POST /lp2_2022_Proyecto/ServletBienes?tipo=REGISTRAR HTTP/1.1" 200 16363
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:02:22 -0500] "GET /lp2_2022_Proyecto/css/stylebar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:02:22 -0500] "GET /lp2_2022_Proyecto/css/stylePages.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:02:30 -0500] "GET /lp2_2022_Proyecto/ServletGuia?tipo=LISTAR HTTP/1.1" 200 16029
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:02:30 -0500] "GET /lp2_2022_Proyecto/css/stylePages.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:02:30 -0500] "GET /lp2_2022_Proyecto/css/stylebar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:02:32 -0500] "GET /lp2_2022_Proyecto/ConsultarBienPorOrdendeCompra.jsp HTTP/1.1" 200 8891
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:02:32 -0500] "GET /lp2_2022_Proyecto/ServletGuiaListaJSON HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:02:34 -0500] "GET /lp2_2022_Proyecto/ServletBienporCompraJSON?cod=2 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:02:34 -0500] "GET /lp2_2022_Proyecto/ServletBienporCompraJSON?cod=undefined HTTP/1.1" 500 1776
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:02:36 -0500] "GET /lp2_2022_Proyecto/ServletBienporCompraJSON?cod=undefined HTTP/1.1" 500 1776
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:02:36 -0500] "GET /lp2_2022_Proyecto/ServletBienporCompraJSON?cod=1 HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:02:46 -0500] "GET /lp2_2022_Proyecto/ServletBienporCompraJSON?cod=undefined HTTP/1.1" 500 1776
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:02:46 -0500] "GET /lp2_2022_Proyecto/ServletBienporCompraJSON?cod=5 HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:02:47 -0500] "GET /lp2_2022_Proyecto/ServletBienporCompraJSON?cod=undefined HTTP/1.1" 500 1776
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:02:47 -0500] "GET /lp2_2022_Proyecto/ServletBienporCompraJSON?cod=1 HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:02:51 -0500] "GET /lp2_2022_Proyecto/ServletBienes?tipo=LISTAR HTTP/1.1" 200 16099
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:02:51 -0500] "GET /lp2_2022_Proyecto/css/stylePages.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2022:15:02:51 -0500] "GET /lp2_2022_Proyecto/css/stylebar.css HTTP/1.1" 304 -
